C:\Users\andre\Desktop\Data\IMG\center_2023_06_15_19_54_07_571.jpg, C:\Users\andre\Desktop\Data\IMG\left_2023_06_15_19_54_07_571.jpg, C:\Users\andre\Desktop\Data\IMG\right_2023_06_15_19_54_07_571.jpg, 0, 0, 0, 8.04298E-05
C:\Users\andre\Desktop\Data\IMG\center_2023_06_15_19_54_07_673.jpg, C:\Users\andre\Desktop\Data\IMG\left_2023_06_15_19_54_07_673.jpg, C:\Users\andre\Desktop\Data\IMG\right_2023_06_15_19_54_07_673.jpg, 0, 0, 0, 7.940405E-05
C:\Users\andre\Desktop\Data\IMG\center_2023_06_15_19_54_07_774.jpg, C:\Users\andre\Desktop\Data\IMG\left_2023_06_15_19_54_07_774.jpg, C:\Users\andre\Desktop\Data\IMG\right_2023_06_15_19_54_07_774.jpg, 0, 0, 0, 7.860336E-05
C:\Users\andre\Desktop\Data\IMG\center_2023_06_15_19_54_07_876.jpg, C:\Users\andre\Desktop\Data\IMG\left_2023_06_15_19_54_07_876.jpg, C:\Users\andre\Desktop\Data\IMG\right_2023_06_15_19_54_07_876.jpg, 0, 0, 0, 7.80977E-05
C:\Users\andre\Desktop\Data\IMG\center_2023_06_15_19_54_07_977.jpg, C:\Users\andre\Desktop\Data\IMG\left_2023_06_15_19_54_07_977.jpg, C:\Users\andre\Desktop\Data\IMG\right_2023_06_15_19_54_07_977.jpg, 0, 0, 0, 7.79028E-05
C:\Users\andre\Desktop\Data\IMG\center_2023_06_15_19_54_08_083.jpg, C:\Users\andre\Desktop\Data\IMG\left_2023_06_15_19_54_08_083.jpg, C:\Users\andre\Desktop\Data\IMG\right_2023_06_15_19_54_08_083.jpg, 0, 0.0751395, 0, 0.03857388
C:\Users\andre\Desktop\Data\IMG\center_2023_06_15_19_54_08_185.jpg, C:\Users\andre\Desktop\Data\IMG\left_2023_06_15_19_54_08_185.jpg, C:\Users\andre\Desktop\Data\IMG\right_2023_06_15_19_54_08_185.jpg, 0, 0.3749394, 0, 0.3111471
C:\Users\andre\Desktop\Data\IMG\center_2023_06_15_19_54_08_286.jpg, C:\Users\andre\Desktop\Data\IMG\left_2023_06_15_19_54_08_286.jpg, C:\Users\andre\Desktop\Data\IMG\right_2023_06_15_19_54_08_286.jpg, 0, 0.6822942, 0, 0.9528663
C:\Users\andre\Desktop\Data\IMG\center_2023_06_15_19_54_08_388.jpg, C:\Users\andre\Desktop\Data\IMG\left_2023_06_15_19_54_08_388.jpg, C:\Users\andre\Desktop\Data\IMG\right_2023_06_15_19_54_08_388.jpg, 0, 0.9743373, 0, 2.009289
C:\Users\andre\Desktop\Data\IMG\center_2023_06_15_19_54_08_490.jpg, C:\Users\andre\Desktop\Data\IMG\left_2023_06_15_19_54_08_490.jpg, C:\Users\andre\Desktop\Data\IMG\right_2023_06_15_19_54_08_490.jpg, 0, 1, 0, 3.179981
